studyId	sampleId	label_1	label_2	label_3	llabel	s_type	n_reads	n_reads2	n_issues	foodId	description	L1	L4	L6	nature	process	spoilage	target1	target2	biosample	SRA_sample	geo_loc_country	geo_loc_continent	lat_lon	L2	L3
ST133	6521	SA6521	s.SRR10856437	s.SRR10856437_A01BQ	A01BQrnfd	Sample	108784	108784	0	A01BQ	Picual olives day 0 sample 4	Fruit and fruit products	Table olives and similar-	Table olives	Raw	None	Fermented	16S_DNA	V3-V4	SAMN13793633	SAMN13793633	Cyprus	Asia	NA	Fruit used as fruit	Miscellaneous fruits with edible peel
ST133	6522	SA6522	s.SRR10856438	s.SRR10856438_A01BQ	A01BQfnfd	Sample	30538	30538	0	A01BQ	Picual olives day 120 sample 3	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	16S_DNA	V3-V4	SAMN13793612	SAMN13793612	Cyprus	Asia	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST133	6523	SA6523	s.SRR10856439	s.SRR10856439_A01BQ	A01BQinfd	Sample	44175	44175	0	A01BQ	Picual olives day 60 sample 3	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMN13793611	SAMN13793611	Cyprus	Asia	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST133	6524	SA6524	s.SRR10856440	s.SRR10856440_A01BQ	A01BQrnfd	Sample	35410	35410	0	A01BQ	Picual olives day 0 sample 3	Fruit and fruit products	Table olives and similar-	Table olives	Raw	None	Fermented	16S_DNA	V3-V4	SAMN13793598	SAMN13793598	Cyprus	Asia	NA	Fruit used as fruit	Miscellaneous fruits with edible peel
ST133	6525	SA6525	s.SRR10856441	s.SRR10856441_A01BQ	A01BQfnfd	Sample	12066	12066	0	A01BQ	Picual olives day 120 sample 2	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	16S_DNA	V3-V4	SAMN13793591	SAMN13793591	Cyprus	Asia	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST133	6526	SA6526	s.SRR10856442	s.SRR10856442_A01BQ	A01BQinfd	Sample	24175	24175	0	A01BQ	Picual olives day 60 sample 2	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMN13793609	SAMN13793609	Cyprus	Asia	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST133	6527	SA6527	s.SRR10856443	s.SRR10856443_A01BQ	A01BQrnfd	Sample	30844	30844	0	A01BQ	Picual olives day 0 sample 2	Fruit and fruit products	Table olives and similar-	Table olives	Raw	None	Fermented	16S_DNA	V3-V4	SAMN13793607	SAMN13793607	Cyprus	Asia	NA	Fruit used as fruit	Miscellaneous fruits with edible peel
ST133	6528	SA6528	s.SRR10856444	s.SRR10856444_A01BQ	A01BQfnfd	Sample	65346	65346	0	A01BQ	Picual olives day 120 sample 1	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	16S_DNA	V3-V4	SAMN13793606	SAMN13793606	Cyprus	Asia	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST133	6529	SA6529	s.SRR10856445	s.SRR10856445_A01BQ	A01BQfnfd	Sample	60223	60223	0	A01BQ	Picual olives day 120 sample 6	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	16S_DNA	V3-V4	SAMN13793638	SAMN13793638	Cyprus	Asia	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST133	6530	SA6530	s.SRR10856446	s.SRR10856446_A01BQ	A01BQinfd	Sample	46633	46633	0	A01BQ	Picual olives day 60 sample 6	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMN13793637	SAMN13793637	Cyprus	Asia	NA	Processed fruit products	Other processed fruit products (excluding beverages)
