studyId	sampleId	label_1	label_2	label_3	llabel	s_type	n_reads	n_reads2	n_issues	foodId	description	L1	L4	L6	nature	process	spoilage	target1	target2	biosample	SRA_sample	geo_loc_country	geo_loc_continent	lat_lon	matchId	L2	L3
ST182	14195	SA14195	s.ERR5348798	SAMEA8124850_A01BQ	A01BQfnfd	Sample	22762	22762	1	A01BQ	Aloreña de Málaga, F_T0a_ITS	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS2	SAMEA8124850	SAMEA8124850	Spain	Europe	NA	10164	Processed fruit products	Other processed fruit products (excluding beverages)
ST182	14196	SA14196	s.ERR5348799	SAMEA8124851_A01BQ	A01BQfnfd	Sample	17940	17940	1	A01BQ	Aloreña de Málaga, F_T0b_ITS	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS2	SAMEA8124851	SAMEA8124851	Spain	Europe	NA	10165	Processed fruit products	Other processed fruit products (excluding beverages)
ST182	14197	SA14197	s.ERR5348800	SAMEA8124852_A01BQ	A01BQfnfd	Sample	60741	60741	1	A01BQ	Aloreña de Málaga, F_T1a_ITS	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS2	SAMEA8124852	SAMEA8124852	Spain	Europe	NA	10166	Processed fruit products	Other processed fruit products (excluding beverages)
ST182	14198	SA14198	s.ERR5348801	SAMEA8124853_A01BQ	A01BQfnfd	Sample	76277	76277	1	A01BQ	Aloreña de Málaga, F_T2a_ITS	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS2	SAMEA8124853	SAMEA8124853	Spain	Europe	NA	10168	Processed fruit products	Other processed fruit products (excluding beverages)
ST182	14199	SA14199	s.ERR5348802	SAMEA8124854_A01BQ	A01BQfnfd	Sample	41191	41191	1	A01BQ	Aloreña de Málaga, F_T3a_ITS	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS2	SAMEA8124854	SAMEA8124854	Spain	Europe	NA	10169	Processed fruit products	Other processed fruit products (excluding beverages)
ST182	14200	SA14200	s.ERR5348803	SAMEA8124855_A01BQ	A01BQfnfd	Sample	20166	20166	1	A01BQ	Aloreña de Málaga, F_T3b_ITS	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS2	SAMEA8124855	SAMEA8124855	Spain	Europe	NA	10170	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14774	SA14774	s.SRR21703531	SAMN30754745_A01BQ	A01BQfnfd	Sample	25132	25132	0	A01BQ	olives, Cyprus: Larnaca, OliveP3	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754745	SAMN30754745	Cyprus	Asia	34.8 N 33.4 E	13587	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14775	SA14775	s.SRR21703532	SAMN30754743_A01BQ	A01BQfnfd	Sample	13101	13101	0	A01BQ	olives, Cyprus: Nicosia, OliveP2	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754743	SAMN30754743	Cyprus	Asia	35 N 33 E	13588	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14776	SA14776	s.SRR21703533	SAMN30754706_A01BQ	A01BQfnfd	Sample	26461	26461	0	A01BQ	olives, Cyprus: Famagusta, OliveP1	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754706	SAMN30754706	Cyprus	Asia	35 N 33 E	13579	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14777	SA14777	s.SRR21703534	SAMN30754614_A01BQ	A01BQfnfd	Sample	17155	17155	0	A01BQ	olives, Cyprus: Larnaca, OliveK3	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754614	SAMN30754614	Cyprus	Asia	34.8 N 33.4 E	13580	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14778	SA14778	s.SRR21703536	SAMN30754611_A01BQ	A01BQfnfd	Sample	18096	18096	0	A01BQ	olives, Cyprus: Famagusta, OliveK2	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754611	SAMN30754611	Cyprus	Asia	35 N 33 E	13581	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14779	SA14779	s.SRR21703537	SAMN30754610_A01BQ	A01BQfnfd	Sample	33768	33768	0	A01BQ	olives, Cyprus: Paphos, OliveK1	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754610	SAMN30754610	Cyprus	Asia	34.766667 N 32.416667 E	13582	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14780	SA14780	s.SRR21703538	SAMN30754098_A01BQ	A01BQfnfd	Sample	34313	34313	0	A01BQ	olives, Cyprus: Larnaca, OliveC6	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754098	SAMN30754098	Cyprus	Asia	34.8 N 33.4 E	13583	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14781	SA14781	s.SRR21703539	SAMN30754009_A01BQ	A01BQfnfd	Sample	25718	25718	0	A01BQ	olives, Cyprus: Paphos, OliveC5	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754009	SAMN30754009	Cyprus	Asia	34.766667 N 32.416667 E	13584	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14782	SA14782	s.SRR21703540	SAMN30754003_A01BQ	A01BQfnfd	Sample	34555	34555	0	A01BQ	olives, Cyprus: Paphos, OliveC4	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754003	SAMN30754003	Cyprus	Asia	34.766667 N 32.416667 E	13585	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14783	SA14783	s.SRR21703541	SAMN30754001_A01BQ	A01BQfnfd	Sample	23847	23847	0	A01BQ	olives, Cyprus: Limassol, OliveC3	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754001	SAMN30754001	Cyprus	Asia	34.4 N 33.2 E	13586	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14784	SA14784	s.SRR21703542	SAMN30754000_A01BQ	A01BQfnfd	Sample	37805	37805	0	A01BQ	olives, Cyprus: Nicosia, OliveC2	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30754000	SAMN30754000	Cyprus	Asia	35 N 33 E	13589	Processed fruit products	Other processed fruit products (excluding beverages)
ST226	14785	SA14785	s.SRR21703543	SAMN30753993_A01BQ	A01BQfnfd	Sample	20573	20573	0	A01BQ	olives, Cyprus: Famagusta, OliveC1	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Finished	None	Fermented	ITS_DNA	ITS1	SAMN30753993	SAMN30753993	Cyprus	Asia	35 N 33 E	13590	Processed fruit products	Other processed fruit products (excluding beverages)
ST236	13946	SA13946	s.ERR11202977	SAMEA112867950_A01BQ	A01BQrnfd	Sample	36670	36670	1	A01BQ	Manzanilla olives, natural fermentation 1-60	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Raw	None	Fermented	ITS_DNA	ITS1	SAMEA112867950	SAMEA112867950	Spain	Europe	NA	13946	Processed fruit products	Other processed fruit products (excluding beverages)
